Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating,"Vehicle Images",MyUnknownColumn
"2024-07-09 11:11:00",11:11:00,CNR9975925287,Success,CID162055,"Prime SUV","Magadi Road","RT Nagar",42,30,NULL,NULL,No,NULL,343,UPI,17,3,3.8,#NAME?,
"2024-07-12 14:44:00",14:44:00,CNR1591113431,Success,CID902781,eBike,Koramangala,"Sarjapur Road",245,70,NULL,NULL,No,NULL,2014,Cash,33,4.2,4.9,#NAME?,
"2024-07-11 20:42:00",20:42:00,CNR3650331573,Success,CID217093,eBike,Basavanagudi,Hulimavu,84,25,NULL,NULL,No,NULL,650,Cash,34,4.9,3.4,#NAME?,
"2024-07-08 22:33:00",22:33:00,CNR6013805089,Success,CID817034,"Prime Sedan",Padmanabhanagar,Jayanagar,168,65,NULL,NULL,No,NULL,231,Cash,2,3.2,3.7,#NAME?,
"2024-07-03 18:20:00",18:20:00,CNR9832070187,Success,CID655872,Bike,Koramangala,"BTM Layout",231,145,NULL,NULL,No,NULL,189,Cash,6,4.9,3.3,#NAME?,
"2024-07-03 21:17:00",21:17:00,CNR5620539253,Success,CID290480,"Prime Plus","Mysore Road","Sahakar Nagar",56,105,NULL,NULL,No,NULL,311,Cash,28,4.3,3,#NAME?,
"2024-07-19 21:18:00",21:18:00,CNR4443921904,Success,CID654618,Mini,"Tumkur Road",Koramangala,231,50,NULL,NULL,No,NULL,286,UPI,44,4,3.3,#NAME?,
"2024-07-25 3:44:00",03:44:00,CNR7194303296,Success,CID538245,Mini,"Mysore Road",Hennur,175,50,NULL,NULL,No,NULL,141,UPI,35,4.7,3.1,#NAME?,
"2024-07-15 17:11:00",17:11:00,CNR6494005067,Success,CID805360,Auto,Yelahanka,Malleshwaram,84,60,NULL,NULL,No,NULL,214,UPI,2,3.3,4.5,#NAME?,
"2024-07-30 19:44:00",19:44:00,CNR6805579107,Success,CID810214,"Prime SUV",Indiranagar,Indiranagar,35,145,NULL,NULL,No,NULL,2183,Cash,20,4,4.4,#NAME?,
"2024-07-27 6:18:00",06:18:00,CNR7979458138,Success,CID978509,eBike,"Frazer Town",Indiranagar,189,65,NULL,NULL,No,NULL,1095,Cash,38,4.8,4.7,#NAME?,
"2024-07-23 12:56:00",12:56:00,CNR9820692957,Success,CID625327,"Prime Sedan",Koramangala,"Hosur Road",49,85,NULL,NULL,No,NULL,241,Cash,33,3.2,3.5,#NAME?,
"2024-07-08 11:52:00",11:52:00,CNR4094067439,Success,CID896062,"Prime Sedan",Majestic,Jayanagar,77,140,NULL,NULL,No,NULL,475,Cash,45,4.3,3.1,#NAME?,
"2024-07-14 5:25:00",05:25:00,CNR7142279862,Success,CID378034,eBike,Yeshwanthpur,"JP Nagar",210,45,NULL,NULL,No,NULL,461,UPI,49,4.5,3.1,#NAME?,
"2024-07-03 0:58:00",00:58:00,CNR5176704322,Success,CID296026,"Prime Plus","KR Puram",Hennur,287,40,NULL,NULL,Yes,"Customer Demand",1102,UPI,41,3.1,3.5,#NAME?,
"2024-07-10 21:56:00",21:56:00,CNR7547352327,Success,CID976231,"Prime Plus",Hulimavu,"Rajarajeshwari Nagar",210,105,NULL,NULL,No,NULL,444,UPI,6,3.8,4.9,#NAME?,
"2024-07-11 3:22:00",03:22:00,CNR4251304471,Success,CID888740,"Prime SUV",Shivajinagar,Jayanagar,294,145,NULL,NULL,No,NULL,876,Cash,21,4.7,3.3,#NAME?,
"2024-07-06 15:02:00",15:02:00,CNR1568684278,Success,CID709612,"Prime Plus","Bannerghatta Road",Majestic,42,90,NULL,NULL,No,NULL,680,UPI,24,4.7,3.8,#NAME?,
"2024-07-05 20:28:00",20:28:00,CNR2230045814,Success,CID961125,"Prime SUV","Cox Town",Chamarajpet,266,65,NULL,NULL,No,NULL,425,Cash,11,3.5,4.6,#NAME?,
"2024-07-11 11:28:00",11:28:00,CNR7871058089,Success,CID221021,Mini,Hennur,Kengeri,56,140,NULL,NULL,No,NULL,989,Cash,4,4.5,4.2,#NAME?,
"2024-07-12 18:02:00",18:02:00,CNR2708187615,Success,CID415325,"Prime Plus",Devanahalli,Rajajinagar,294,95,NULL,NULL,No,NULL,443,Cash,5,3.4,3.1,#NAME?,
"2024-07-16 22:35:00",22:35:00,CNR1625119636,Success,CID745270,eBike,"Ramamurthy Nagar","Sahakar Nagar",35,95,NULL,NULL,No,NULL,721,Cash,19,3.8,4.7,#NAME?,
"2024-07-26 13:20:00",13:20:00,CNR9312632867,Success,CID649563,"Prime SUV","Tumkur Road","Mysore Road",217,120,NULL,NULL,Yes,"Vehicle Breakdown",2936,Cash,34,4.1,4.6,#NAME?,
